tipo_de_cultivo,ph,tipo_de_suelo,humedad,temperatura,precipitacion,horas_de_sol,temporada
lentejas,6.5,rocoso,26.17,27.0,171.6,6.3,verano
soja,6.34,arenoso,24.7,32.0,241.63,7.6,verano
naranjas,6.11,arenoso,90.63,10.0,228.05,13.7,invierno
lentejas,6.61,rocoso,24.95,25.0,46.17,5.4,verano
arroz,6.48,arcilloso,27.19,23.0,44.77,13.9,verano
zanahoria,5.96,arcilloso,75.94,33.0,80.45,1.4,invierno
naranjas,6.71,arenoso,44.97,36.0,108.32,12.4,primavera
naranjas,6.62,arcilloso,77.67,0.0,122.54,13.6,primavera
lentejas,6.75,rocoso,6.54,27.0,203.91,2.9,verano
trigo,6.53,arcilloso,48.76,2.0,17.0,6.9,verano
arroz,6.41,arenoso,3.36,22.0,10.4,2.6,invierno
lentejas,6.22,rocoso,6.27,12.0,117.57,11.3,invierno
arroz,6.73,arcilloso,90.64,12.0,209.15,8.6,primavera
arroz,6.67,limoso,13.92,14.0,58.03,10.2,otoño
zanahoria,5.85,rocoso,53.24,25.0,192.45,3.1,verano
naranjas,5.83,rocoso,41.11,13.0,77.95,3.4,otoño
soja,6.18,limoso,34.73,29.0,265.83,0.7,otoño
zanahoria,6.61,limoso,89.98,16.0,268.71,5.2,invierno
zanahoria,6.79,rocoso,2.18,3.0,89.19,9.0,verano
arroz,5.95,limoso,66.38,31.0,69.0,13.7,verano
uva,6.39,arenoso,96.34,11.0,123.39,10.7,invierno
naranjas,6.18,arenoso,56.02,17.0,72.16,7.0,otoño
trigo,6.77,arenoso,93.68,27.0,201.72,15.2,invierno
zanahoria,6.64,rocoso,5.23,13.0,247.82,11.5,primavera
soja,6.64,limoso,41.88,2.0,201.93,14.9,verano
uva,6.27,limoso,26.02,15.0,247.31,8.4,primavera
uva,6.21,arcilloso,73.08,38.0,119.1,4.1,invierno
trigo,6.07,arcilloso,98.13,26.0,46.9,0.8,verano
zanahoria,5.86,limoso,25.65,27.0,221.39,11.6,primavera
soja,6.66,limoso,65.42,25.0,108.14,1.9,primavera
naranjas,6.61,limoso,19.81,8.0,201.38,4.8,otoño
maiz,6.8,rocoso,56.53,17.0,81.19,8.5,verano
soja,6.8,limoso,46.39,30.0,24.37,9.0,primavera
trigo,6.36,arcilloso,97.2,4.0,297.77,9.6,primavera
uva,6.57,rocoso,60.85,11.0,46.86,2.7,otoño
naranjas,6.74,limoso,34.95,11.0,296.53,6.1,primavera
soja,6.65,arcilloso,11.41,17.0,293.18,9.9,primavera
maiz,6.05,rocoso,15.12,39.0,238.15,15.5,primavera
maiz,6.25,limoso,22.53,3.0,197.83,11.6,otoño
arroz,5.93,limoso,25.1,21.0,173.34,14.8,primavera
arroz,6.75,limoso,85.06,7.0,259.83,12.2,primavera
lentejas,6.41,rocoso,56.12,39.0,86.83,9.5,verano
trigo,6.03,arcilloso,52.34,5.0,140.3,3.1,verano
zanahoria,6.47,arcilloso,11.48,16.0,185.82,10.7,otoño
soja,6.42,arenoso,86.01,30.0,123.36,10.0,invierno
soja,6.16,limoso,72.28,28.0,128.25,9.6,verano
zanahoria,5.91,arenoso,6.77,17.0,99.09,7.8,otoño
lentejas,6.47,arenoso,70.78,14.0,169.27,8.5,primavera
uva,6.32,arcilloso,54.35,16.0,255.17,5.4,primavera
uva,6.57,rocoso,8.17,11.0,60.46,8.3,otoño
lentejas,6.32,rocoso,45.83,8.0,280.33,3.2,primavera
uva,6.65,arcilloso,48.47,19.0,206.73,12.9,primavera
arroz,6.35,rocoso,16.58,11.0,246.98,3.0,invierno
soja,6.36,arenoso,94.57,11.0,166.86,1.4,primavera
lentejas,6.68,limoso,85.0,26.0,233.86,7.0,verano
soja,6.2,arcilloso,66.9,39.0,4.86,10.5,primavera
zanahoria,5.93,limoso,46.23,24.0,245.51,7.0,otoño
maiz,5.83,rocoso,41.18,3.0,12.04,4.4,invierno
arroz,6.56,limoso,65.1,3.0,266.97,8.9,primavera
naranjas,6.42,rocoso,54.54,38.0,297.59,5.6,otoño
arroz,6.5,rocoso,6.23,12.0,88.22,14.9,verano
lentejas,6.01,arenoso,51.25,4.0,63.1,14.8,primavera
naranjas,5.94,rocoso,80.64,24.0,229.61,8.0,invierno
maiz,5.81,arenoso,45.92,25.0,75.91,5.2,primavera
lentejas,6.15,arenoso,5.2,26.0,259.67,11.8,otoño
trigo,6.39,arenoso,78.63,11.0,30.85,0.6,invierno
soja,6.19,arcilloso,20.14,1.0,37.79,7.6,primavera
maiz,6.24,arcilloso,25.86,39.0,293.75,5.4,verano
